title,latitude,longitude,description,url
56 Loch'SEL,47.84596,-3.26059,56650 Inzinzac-Lochrist,http://lochsel.communityforge.net/
56 Sel'i Guer,47.97064,-2.17035,56380 BEIGNON,http://seliguer.communityforge.net/
56 Troc'SEL de Pontivy,48.06615,-2.96705,56300 Pontivy,http://trocsel.communityforge.net
56 Sel de la RIA d'ETEL,47.65707,-3.20153,56410 Étel,http://seldelaria.fr
56 SEL du pays d'Auray,47.66649,-2.98376,56400 AURAY,
56 SELymen du pays de Questembert,47.6601,-2.45065,56230 Questembert,http://selymen.communityforge.net/
58 Niversel,46.99089,3.16284,58000 Nevers,www.niversel.fr
58 Treuffes au SEL,46.80898,3.83935,58250 LANTY,http://treuffesausel.canalblog.com/
58 Sel de Clamecy,47.40299,3.40027,58210 Courcelles,http://seldeclamecy.free.fr/
59 Sel de l'union,50.69308,3.18456,59100 Roubaix,www.sel-union.echange-local.fr
59 L'Arbre - le SEL de Villeneuve d'Ascq,50.63162,3.15333,59650 VILLENEUVE D'ASCQ ,http://sel-vascq.communityforge.net/
59 QuercySEL,50.24732,3.63666,59530 Le Quesnoy,
59 SEL des Flandres,51.046,2.35792,59140 Dunkerque,
59 SEL de la Haute Deûle,50.52972,2.93155,59112 ANNOEULLIN,http://seldelahautedeule.communityforge.net/
59 Sel en Pévèle,50.52178,3.11557,59710 Pont-a-Marcq,http://www.sel-en-pevele.e-monsite.com
60 Sel Sud Oise,49.21454,2.3572,60460 Precy sur Oise,
61 Sel de la Touques,48.77545,0.34501,61230 Cisai St Aubin,
61 Sel du Perche,48.42944,0.77435,61110 Remalard,
62 Boite à Sel Beaurains,50.2636,2.78792,62217 BEAURAINS,http://boiteaselbeaurains.wixsite.com/boiteasel
62 SEL de l'Aa,50.69732,2.24321,62570 HELFAUT,http://seldelaa.hol.es
63 S.SancyEL,45.57064,2.89561,63790 Chambon-sur-Lac,
63 Sel de Billom,45.72392,3.33897,63160 Billom,
63 Sel de Clermont Ferrand,45.79506,3.11723,63100 Clermont Ferrand,http://seldeclermont.free.fr
63 Sel Issoire,45.54151,3.24812,63500 Issoire,http://selissoire.e-monsite.com/
64 SEL Camin Salier,43.31928,-0.34659,64000 PAU,http://seldepau64.fr/
64 Sel Agora,43.50316,-1.47247,64100 Bayonne,
40 SEL de la Légende,43.62866,-0.83011,40360 Pomarez,
65 SEL du Val d'Adour,43.46846,0.03544,65700 MAUBOURGUET,
65 Sel de Bigorre,43.34761,0.06643,65500 Pujo,
66 Sel des Aspres,42.57924,2.81388,66300 PASSA,http://seldesaspres.blogspot.fr/
66 Sel du Vallespir,42.48595,2.74882,66400 Ceret,
66 Sel du Conflent,42.61771,2.42323,66500 Prades,
66 La Souris Verte,42.6218,2.46128,66500 Los Masos,
67 EvoluSEL,48.78084,7.55956,67270 Bossendorf,https://www.evolusel.seliweb.net/public/fr/index.php
67 SEL duo et du bas,48.7695,7.36035,67700 ST JEAN SAVERNE,https://www.facebook.com/selduoetdubas/
67 RESE Réseau d'Echange de Services Epfigeois,48.34538,7.48559,67680 EPFIG,https://rese.seliweb.net/public/fr/index.php
67 SEL de l'Outre-forêt,48.93889,7.74742,67360 Woerth,http://outre-foret.communityforge.net/
67 SEL de Lipsheim,48.48959,7.66016,67640 Lipsheim,http://sel-lipsheim.org
67 Sel de Strasbourg,48.60198,7.78352,67000 Strasbourg,http://sel-strasbourg.org/seliweb/public/fr/
67 Sel de la Bruche,48.43917,7.23896,67130 Neuwiller-la-roche,http://leseldelabruche.seliweb.net
68 MannaSEL,47.86155,7.21685,68500 HARTMANNSWILLER,www.mannasel.org
68 BretSEL,47.76613,7.26798,68460 Lutterbach,
68 Radisel,47.96076,7.2388,68570 Soultzmatt,http://radisel1.e-monsite.com/
68 Souri'SEL,47.72572,7.33861,68100 Mulhouse 58 rue Dr Léon Mangeney,http://souri.communityforge.net
68 Thann SEL,47.74274,7.30813,68200 MULHOUSE 1 Rue Erckmann Chatrian ,
68 SEL du Sundgau,47.69476,7.29467,68720 Zillisheim,www.seldusundgau.fr
69 Mine de SEL,45.78864,4.61226,69210 St Pierre la Palud,http://minedesel.communityforge.net
69 SEL des grandes Terres,45.70034,4.87769,69200 Venissieux,
69 SEL CALADE,45.99071,4.72835,69400 Villefranche sur saone 34 rue Hoche,
69 Mionsel,45.66296,4.9532,69780 Mions,http://www.mionsel.org
69 SEL des sapins,45.97265,4.33308,69550 AMPLEPUIS,
69 Memo,45.77127,4.88445,69100 Villeurbanne,http://memo.communityforge.net
69 SEL Beaujolais Val de Saône,45.99211,4.73208,69400 Villefranche sur Saone 308 Rue de l'égalité,
69 SEL des Pierres Dorées,45.93964,4.61622,69620 Theizé,http://www.croquausel.fr
69 Neuville en SEL,45.87613,4.84102,69250 Neuville sur Saône,http://www.neuvilleensel.wixsite.com/asso
69 SEL de Corbas,45.67073,4.90477,69960 CORBAS,
69 SEL sans souci,45.67882,4.70264,69510 Soucieu en Jarrest,
70 Sel 70,47.72983,6.04549,70170 Conflandey,
70 SEL Terre de Richesse,47.54224,5.6956,70180 AUTET,http://terrederichesse.communityforge.net/
71 Sel du Tournugeois,46.56181,4.91195,71700 Tournus,http://seldutournugeois.communityforge.net/
71 Sel Clunisois,46.42896,4.66455,71250 Cluny,http://selclunisois.org
71 SEL'essentiel,46.67796,4.27196,71410 SANVIGNES LES MINES,
71 SEL de Charnay-lès-Mâcon,46.30985,4.80045,71750 Charnay-lès-Mâcon,http://seldecharnay.communityforge.net
72 Sel du Maine,48.01578,0.16092,72000 Le Mans,http://seldumaine.fr
72 Sel 72,47.92088,0.74472,72120 St Calais,
73 SEL A Voie,45.67553,6.39272,73200 Albertville,
74 SEL d’Annemasse - Genevois,46.19325,6.23415,74100 Annemasse,http://genevois.communityforge.net/
74 Sel du pays rochois,46.06707,6.31203,74800 La Roche s/Foron,
74 SEL du Haut Giffre,46.1046,6.77062,74340 Samoens,http://selduhautgiffre.communityforge.net
74 Escarcelle 74,45.96093,6.04166,74330 La Balme de Sillingy,
74 Sel du pays de Cruseilles,46.03376,6.10663,74350 Cruseilles,http://www.selpaysdecruseilles.org
75 SEL de Paris,48.86266,2.39887,75020 Paris 18 Rue Ramus ,http://www.seldeparis.org
76 Sel d'Yvetot,49.61777,0.75521,76190 Yvetot,
76 SEL DU HAVRE,49.47699,0.16394,76600 LE HAVRE,http://selduhavre.communityforge.net/
76 Sel de Seine - Rouen,49.41474,1.09154,76300 Sotteville-lès-Rouen,http://seine.communityforge.net/
76 SEL de Caux,49.7556,0.38077,76400 Fecamp,http://caux.communityforge.net
76 Radis'SEL de la région de Valmont,49.74068,0.51743,76540 Valmont,http://radiselvalmont.communityforge.net/
77 SEL de la Gondoire,48.85592,2.73678,77600 Chanteloup en brie,http://www.seldelagondoire.org
77 Fleur de Seine,48.47456,2.69229,77590 Bois-le-Roi,http://selfleurdeseine.communityforge.net
78 EmanSEL,48.59029,1.7304,78125 Emancé,http://www.emansel.fr
78 SEL du Mantois,48.97317,1.7096,78711 Mantes la ville,
78 Association les gens du Partage - SEL de Carrières,48.94779,2.03174,78955 CARRIERES SOUS POISSY,http://lesgensdupartage.org
78 Tous en Sel,48.94754,2.14238,78600 Maisons-Laffitte,http://tousensel.com/
78 Harmonie -SEL,48.8301,2.00526,78450 Villepreux,http://www.harmoniesel.fr/
